Entity Name,Domain,Sub-Domain,Entity Type
A Nation in Making,ArtsAndCulture,Literature,PERSON
Abhidhamma Piṭaka,ArtsAndCulture,Literature,PERSON
Afsarwala tomb,ArtsAndCulture,Heritage,PERSON
Agra Fort,ArtsAndCulture,Heritage,PERSON
Airavatesvara Temple,ArtsAndCulture,Heritage,PERSON
Ajanta Caves,ArtsAndCulture,Heritage,PERSON
Alai Darwaza,ArtsAndCulture,Heritage,PERSON
Allopanishad,ArtsAndCulture,Literature,PERSON
Alta,ArtsAndCulture,Festivals,PERSON
Amber Fort,ArtsAndCulture,Heritage,PERSON
Antahpragnya,ArtsAndCulture,Festivals,PERSON
Arab Serai,ArtsAndCulture,Heritage,PERSON
Baha parab,ArtsAndCulture,Festivals,PERSON
Bahar-i Danish,ArtsAndCulture,Literature,PERSON
Bandna,ArtsAndCulture,Festivals,PERSON
Bansberia Kumbh Mela,ArtsAndCulture,Festivals,PERSON
Basilica of Bom Jesus,ArtsAndCulture,Heritage,PERSON
Belnati Beltodi,ArtsAndCulture,Festivals,PERSON
Bhima Pushkaram,ArtsAndCulture,Festivals,PERSON
Bhimbetka rock shelters,ArtsAndCulture,Heritage,PERSON
Bhāruci,ArtsAndCulture,Literature,PERSON
Biju festival,ArtsAndCulture,Festivals,PERSON
Bitextual work,ArtsAndCulture,Literature,PERSON
Blind men and an elephant,ArtsAndCulture,Literature,PERSON
Bodh Gaya,ArtsAndCulture,Heritage,PERSON
Bohag Bihu,ArtsAndCulture,Festivals,PERSON
Brihadisvara Temple,ArtsAndCulture,Heritage,PERSON
"Brihadisvara Temple, Gangaikonda Cholapuram",ArtsAndCulture,Heritage,PERSON
Brihatkathamanjari,ArtsAndCulture,Literature,PERSON
Buranji,ArtsAndCulture,Literature,PERSON
Burhi Aair Sadhu,ArtsAndCulture,Literature,PERSON
Bṛhatkathāślokasaṃgraha,ArtsAndCulture,Literature,PERSON
Catalogus Catalogorum,ArtsAndCulture,Literature,PERSON
Cave Temples of Mahabalipuram,ArtsAndCulture,Heritage,PERSON
Chaand Raat,ArtsAndCulture,Festivals,PERSON
Champaner-Pavagadh Archaeological Park,ArtsAndCulture,Heritage,PERSON
Chandigarh Capitol Complex,ArtsAndCulture,Heritage,PERSON
Chapel of St. Catherine,ArtsAndCulture,Heritage,PERSON
Chatuva,ArtsAndCulture,Literature,PERSON
Chautisa,ArtsAndCulture,Literature,PERSON
Chhatrapati Shivaji Terminus,ArtsAndCulture,Heritage,PERSON
Chhayavad,ArtsAndCulture,Literature,PERSON
Chitra-kavya,ArtsAndCulture,Literature,PERSON
Chittor Fort,ArtsAndCulture,Heritage,PERSON
Church of Our Lady of the Rosary,ArtsAndCulture,Heritage,PERSON
Churches and convents of Goa,ArtsAndCulture,Heritage,PERSON
Cooch Behar Rash Mela,ArtsAndCulture,Festivals,PERSON
Dalit literature,ArtsAndCulture,Literature,PERSON
Darjeeling Himalayan Railway,ArtsAndCulture,Heritage,PERSON
Deepshikha,ArtsAndCulture,Literature,PERSON
Delhi Sultanate literature,ArtsAndCulture,Literature,PERSON
Dhola Maru,ArtsAndCulture,Literature,PERSON
Dholavira,ArtsAndCulture,Heritage,PERSON
Diamond Cut Diamond,ArtsAndCulture,Literature,PERSON
Divyavadana,ArtsAndCulture,Literature,PERSON
Diwali,ArtsAndCulture,Festivals,PERSON
Doha,ArtsAndCulture,Literature,PERSON
Drupka Teshi,ArtsAndCulture,Festivals,PERSON
Duladeo Temple,ArtsAndCulture,Heritage,PERSON
Ekla Chalo Re,ArtsAndCulture,Literature,PERSON
Elephanta Caves,ArtsAndCulture,Heritage,PERSON
Ellora Caves,ArtsAndCulture,Heritage,PERSON
Fatehpur Sikri,ArtsAndCulture,Heritage,PERSON
Folk-Tales of Bengal,ArtsAndCulture,Literature,PERSON
Four harmonious animals,ArtsAndCulture,Literature,PERSON
Gagron Fort,ArtsAndCulture,Heritage,PERSON
Galdan Namchot,ArtsAndCulture,Festivals,PERSON
Ganesha pancharatnam,ArtsAndCulture,Literature,PERSON
Gita Press,ArtsAndCulture,Literature,PERSON
Goan literature,ArtsAndCulture,Literature,PERSON
Govardhan Puja,ArtsAndCulture,Festivals,PERSON
Great Himalayan National Park,ArtsAndCulture,Heritage,PERSON
Great Living Chola Temples,ArtsAndCulture,Heritage,PERSON
Group of Monuments at Mahabalipuram,ArtsAndCulture,Heritage,PERSON
Gujarati Vishwakosh,ArtsAndCulture,Literature,PERSON
Gujarati literature,ArtsAndCulture,Literature,PERSON
Guru Purnima,ArtsAndCulture,Festivals,PERSON
Hampi,ArtsAndCulture,Heritage,PERSON
Hanuman Jayanti,ArtsAndCulture,Festivals,PERSON
Heer Ranjha,ArtsAndCulture,Literature,PERSON
Henny Penny,ArtsAndCulture,Literature,PERSON
Hikaaitaan,ArtsAndCulture,Literature,PERSON
Hill Forts of Rajasthan,ArtsAndCulture,Heritage,PERSON
Himal and Nagaray,ArtsAndCulture,Literature,PERSON
Hindi literature,ArtsAndCulture,Literature,PERSON
HindiUSA,ArtsAndCulture,Literature,PERSON
Historic City of Ahmadabad,ArtsAndCulture,Heritage,PERSON
Hitopadesha,ArtsAndCulture,Literature,PERSON
Humayun's tomb,ArtsAndCulture,Heritage,PERSON
Hyderabad Book Fair,ArtsAndCulture,Literature,PERSON
Indian calligraphy,ArtsAndCulture,Literature,PERSON
Indian literature,ArtsAndCulture,Literature,PERSON
Indian philosophy,ArtsAndCulture,Literature,PERSON
Indian prison literature,ArtsAndCulture,Literature,PERSON
Indra Vila,ArtsAndCulture,Festivals,PERSON
Jaisalmer Fort,ArtsAndCulture,Heritage,PERSON
Jaisalmer Fort Palace Museum,ArtsAndCulture,Heritage,PERSON
"Jantar Mantar, Jaipur",ArtsAndCulture,Heritage,PERSON
Jashn-e-Chiragah,ArtsAndCulture,Festivals,PERSON
Jataka tales,ArtsAndCulture,Literature,PERSON
Jatakamala,ArtsAndCulture,Literature,PERSON
Jaya Parvati vrat,ArtsAndCulture,Festivals,PERSON
Jayadeva birth controversy,ArtsAndCulture,Literature,PERSON
Jharkhand International Film Festival Awards,ArtsAndCulture,Festivals,PERSON
Jhulan Purnima,ArtsAndCulture,Festivals,PERSON
Jyotiḥśāstra,ArtsAndCulture,Literature,PERSON
Kaanum Pongal,ArtsAndCulture,Festivals,PERSON
Kabir Jayanti,ArtsAndCulture,Festivals,PERSON
"Kailasa Temple, Ellora",ArtsAndCulture,Heritage,PERSON
Kakababu,ArtsAndCulture,Literature,PERSON
Kakatiya Kala Thoranam,ArtsAndCulture,Heritage,PERSON
Kalka–Shimla Railway,ArtsAndCulture,Heritage,PERSON
Kalīla wa-Dimna,ArtsAndCulture,Literature,PERSON
Kama Sutra,ArtsAndCulture,Literature,PERSON
Kamrupi literature,ArtsAndCulture,Literature,PERSON
Kannada literature,ArtsAndCulture,Literature,PERSON
Kanyasulkam,ArtsAndCulture,Literature,PERSON
Karadi Tales,ArtsAndCulture,Literature,PERSON
Kas Plateau Reserved Forest,ArtsAndCulture,Heritage,PERSON
Kathasaritsagara,ArtsAndCulture,Literature,PERSON
Kaziranga National Park,ArtsAndCulture,Heritage,PERSON
Keoladeo National Park,ArtsAndCulture,Heritage,PERSON
Kerala Gauthameeyam,ArtsAndCulture,Literature,PERSON
Khajuraho Group of Monuments,ArtsAndCulture,Heritage,PERSON
Khalsa Mahima,ArtsAndCulture,Literature,PERSON
Khamba Thoibi Sheireng,ArtsAndCulture,Literature,PERSON
Khamba and Thoibi,ArtsAndCulture,Literature,PERSON
Khangchendzonga National Park,ArtsAndCulture,Heritage,PERSON
Khirer Putul,ArtsAndCulture,Literature,PERSON
King Kalābu,ArtsAndCulture,Literature,PERSON
Kiranmala,ArtsAndCulture,Literature,PERSON
Kodaṇḍakāvya,ArtsAndCulture,Literature,PERSON
Kolkata Book Fair,ArtsAndCulture,Literature,PERSON
Konark Sun Temple,ArtsAndCulture,Heritage,PERSON
Kosalananda Kavyam,ArtsAndCulture,Literature,PERSON
Kumbhalgarh,ArtsAndCulture,Heritage,PERSON
"Lakshmi Temple, Khajuraho",ArtsAndCulture,Heritage,PERSON
Legendary Tamil Sangams,ArtsAndCulture,Literature,PERSON
Lhabab Duchen,ArtsAndCulture,Festivals,PERSON
Lion's share,ArtsAndCulture,Literature,PERSON
List of Hindu texts,ArtsAndCulture,Literature,PERSON
List of World Heritage Sites in India,ArtsAndCulture,Heritage,PERSON
List of Yakshagana plays in the Kannada language,ArtsAndCulture,Literature,PERSON
Lists of Sahitya Akademi Award winners,ArtsAndCulture,Literature,PERSON
Literature of North East India,ArtsAndCulture,Literature,PERSON
Madanakamaraja Katha,ArtsAndCulture,Literature,PERSON
Madrasa and tomb of Alauddin Khalji,ArtsAndCulture,Heritage,PERSON
Madurai Tamil Sangam,ArtsAndCulture,Literature,PERSON
Magha Purnima,ArtsAndCulture,Festivals,PERSON
Mahabodhi Temple,ArtsAndCulture,Heritage,PERSON
Mahakapi Jataka,ArtsAndCulture,Literature,PERSON
Mahakavya,ArtsAndCulture,Literature,PERSON
Mahānipāta Jātaka,ArtsAndCulture,Literature,PERSON
Majma-ul-Bahrain,ArtsAndCulture,Literature,PERSON
Makers of Indian Literature,ArtsAndCulture,Literature,PERSON
Malayalam drama,ArtsAndCulture,Literature,PERSON
Malayalam literature,ArtsAndCulture,Literature,PERSON
Malayalam novel,ArtsAndCulture,Literature,PERSON
Manas National Park,ArtsAndCulture,Heritage,PERSON
Manipravalam,ArtsAndCulture,Literature,PERSON
Manohara,ArtsAndCulture,Literature,PERSON
Marathi literature,ArtsAndCulture,Literature,PERSON
Matanga Hill,ArtsAndCulture,Heritage,PERSON
Mawlid,ArtsAndCulture,Festivals,PERSON
Medical Hall Press,ArtsAndCulture,Literature,PERSON
Meitei literature,ArtsAndCulture,Literature,PERSON
Melā,ArtsAndCulture,Festivals,PERSON
Mera Parivar,ArtsAndCulture,Literature,PERSON
Mesha Sankranti,ArtsAndCulture,Festivals,PERSON
Modern Kannada literature,ArtsAndCulture,Literature,PERSON
Moidam,ArtsAndCulture,Heritage,PERSON
Momal Rano,ArtsAndCulture,Literature,PERSON
Monuments of Champaner-Pavagadh Archaeological Park,ArtsAndCulture,Heritage,PERSON
Mountain railways of India,ArtsAndCulture,Heritage,PERSON
Muchie-Lal,ArtsAndCulture,Literature,PERSON
Murty Classical Library of India,ArtsAndCulture,Literature,PERSON
Nagpuri literature,ArtsAndCulture,Literature,PERSON
Nalanda mahavihara,ArtsAndCulture,Heritage,PERSON
Nanda Devi,ArtsAndCulture,Heritage,PERSON
Nanda Devi National Park,ArtsAndCulture,Heritage,PERSON
Nanda Devi and Valley of Flowers National Parks,ArtsAndCulture,Heritage,PERSON
Nandotsava,ArtsAndCulture,Festivals,PERSON
Naropa Festival: The Kumbh of the Himalayas,ArtsAndCulture,Festivals,PERSON
Nath literature,ArtsAndCulture,Literature,PERSON
National Tribal Festival,ArtsAndCulture,Festivals,PERSON
National Youth Day,ArtsAndCulture,Festivals,PERSON
Navaratri,ArtsAndCulture,Festivals,PERSON
Nazrul Geeti,ArtsAndCulture,Literature,PERSON
Nila Gumbad,ArtsAndCulture,Heritage,PERSON
Nilgiri Mountain Railway,ArtsAndCulture,Heritage,PERSON
Noor International Microfilm Center,ArtsAndCulture,Literature,PERSON
Numit Kappa,ArtsAndCulture,Literature,PERSON
Nātyakalpadrumam,ArtsAndCulture,Literature,PERSON
Nūram Mūbin,ArtsAndCulture,Literature,PERSON
Old Goa,ArtsAndCulture,Heritage,PERSON
Origins and architecture of the Taj Mahal,ArtsAndCulture,Heritage,PERSON
Padshahnama,ArtsAndCulture,Literature,PERSON
Pakhangba Cheng Hongba,ArtsAndCulture,Festivals,PERSON
Panchatantra,ArtsAndCulture,Literature,PERSON
Pandal,ArtsAndCulture,Festivals,PERSON
Panthoibi Iratpa,ArtsAndCulture,Festivals,PERSON
Parents' Worship Day,ArtsAndCulture,Festivals,PERSON
Parinirvana Day,ArtsAndCulture,Festivals,PERSON
Pattadakal,ArtsAndCulture,Heritage,PERSON
Pattole Palome,ArtsAndCulture,Literature,PERSON
Pavāraṇā,ArtsAndCulture,Festivals,PERSON
Pitalkhora,ArtsAndCulture,Heritage,PERSON
Pohela Boishakh,ArtsAndCulture,Festivals,PERSON
Pongal,ArtsAndCulture,Festivals,PERSON
Pratap Jayanti,ArtsAndCulture,Festivals,PERSON
Premchand,ArtsAndCulture,Literature,PERSON
Prince Sattva,ArtsAndCulture,Literature,PERSON
Public holidays in India,ArtsAndCulture,Festivals,PERSON
Puthandu,ArtsAndCulture,Festivals,PERSON
Qutb Minar,ArtsAndCulture,Heritage,PERSON
Qutb Minar complex,ArtsAndCulture,Heritage,PERSON
Rabindra Sangeet,ArtsAndCulture,Literature,PERSON
Raghunathabhyudayam,ArtsAndCulture,Literature,PERSON
Rajatarangini,ArtsAndCulture,Literature,PERSON
Ramappa Temple,ArtsAndCulture,Heritage,PERSON
Ramayana Kalpavruksham,ArtsAndCulture,Literature,PERSON
Rani ki Vav,ArtsAndCulture,Heritage,PERSON
Ranthambore Fort,ArtsAndCulture,Heritage,PERSON
Red Fort,ArtsAndCulture,Heritage,PERSON
Riddles of Amir Khusrow,ArtsAndCulture,Literature,PERSON
Rongali,ArtsAndCulture,Festivals,PERSON
Rudra Avtar,ArtsAndCulture,Literature,PERSON
Rāmakṛṣṇavilomakāvyaṃ,ArtsAndCulture,Literature,PERSON
Sabz Burj,ArtsAndCulture,Heritage,PERSON
Sacred Ensembles of the Hoysalas,ArtsAndCulture,Heritage,PERSON
Samarangana Sutradhara,ArtsAndCulture,Literature,PERSON
Samvatsari,ArtsAndCulture,Festivals,PERSON
Sanchi Stupa,ArtsAndCulture,Heritage,PERSON
Sanchi Stupa No. 2,ArtsAndCulture,Heritage,PERSON
Sangrain,ArtsAndCulture,Festivals,PERSON
Sanjhi,ArtsAndCulture,Festivals,PERSON
Sankashti Chaturthi,ArtsAndCulture,Festivals,PERSON
Sanskrit literature,ArtsAndCulture,Literature,PERSON
Saragarhi Day,ArtsAndCulture,Festivals,PERSON
Sardotsav,ArtsAndCulture,Festivals,PERSON
Sassui Punnhun,ArtsAndCulture,Literature,PERSON
Satuaan,ArtsAndCulture,Festivals,PERSON
Shabad Hazare,ArtsAndCulture,Literature,PERSON
Shahjahannama,ArtsAndCulture,Literature,PERSON
Shakta Rash,ArtsAndCulture,Festivals,PERSON
Shantiniketan,ArtsAndCulture,Heritage,PERSON
Shiv Jayanti,ArtsAndCulture,Festivals,PERSON
Shiva Chalisa,ArtsAndCulture,Literature,PERSON
Shringara-manjari-katha,ArtsAndCulture,Literature,PERSON
Sibi Jataka,ArtsAndCulture,Literature,PERSON
Singhasan Battisi,ArtsAndCulture,Literature,PERSON
Sirr-i-Akbar,ArtsAndCulture,Literature,PERSON
Sohni Mahiwal,ArtsAndCulture,Literature,PERSON
Sohrai,ArtsAndCulture,Festivals,PERSON
Sorath Rai Diyach,ArtsAndCulture,Literature,PERSON
Sri Venkateswar Steam Press,ArtsAndCulture,Literature,PERSON
Story of Python,ArtsAndCulture,Literature,PERSON
Stri Purush Tulana,ArtsAndCulture,Literature,PERSON
Subramanyam Bharti Award,ArtsAndCulture,Literature,PERSON
Sundarbans,ArtsAndCulture,Heritage,PERSON
Sundarbans National Park,ArtsAndCulture,Heritage,PERSON
Syntipas,ArtsAndCulture,Literature,PERSON
Taj Mahal,ArtsAndCulture,Heritage,PERSON
Teeyan,ArtsAndCulture,Festivals,PERSON
Telugu literature,ArtsAndCulture,Literature,PERSON
Tendong Lho Rumfaat,ArtsAndCulture,Festivals,PERSON
Tesro Aayam,ArtsAndCulture,Literature,PERSON
Thakurmar Jhuli,ArtsAndCulture,Literature,PERSON
The Architectural Work of Le Corbusier,ArtsAndCulture,Heritage,PERSON
The Ass and the Pig,ArtsAndCulture,Literature,PERSON
The Ass in the Lion's Skin,ArtsAndCulture,Literature,PERSON
The Boy with the Moon on his Forehead,ArtsAndCulture,Literature,PERSON
The Brahmin and the Mongoose,ArtsAndCulture,Literature,PERSON
"The Cock, the Dog and the Fox",ArtsAndCulture,Literature,PERSON
The Deer without a Heart,ArtsAndCulture,Literature,PERSON
The Dog and Its Reflection,ArtsAndCulture,Literature,PERSON
The Ebony Horse,ArtsAndCulture,Literature,PERSON
The Fisher-Girl and the Crab,ArtsAndCulture,Literature,PERSON
The Fox and the Crow,ArtsAndCulture,Literature,PERSON
The Fox and the Sick Lion,ArtsAndCulture,Literature,PERSON
The Frightened Hares,ArtsAndCulture,Literature,PERSON
The Goose that Laid the Golden Eggs,ArtsAndCulture,Literature,PERSON
The Gurkha's Daughter,ArtsAndCulture,Literature,PERSON
The Indian Press,ArtsAndCulture,Literature,PERSON
The King Who Would Be Stronger Than Fate,ArtsAndCulture,Literature,PERSON
"The Lion, the Bear and the Fox",ArtsAndCulture,Literature,PERSON
The Real Mother,ArtsAndCulture,Literature,PERSON
The Snake Prince,ArtsAndCulture,Literature,PERSON
The Three Princes of Serendip,ArtsAndCulture,Literature,PERSON
The Tortoise and the Birds,ArtsAndCulture,Literature,PERSON
The Turtle Prince,ArtsAndCulture,Literature,PERSON
The Twelve Dancing Princesses,ArtsAndCulture,Literature,PERSON
The Water of Life,ArtsAndCulture,Literature,PERSON
Tholung Monastery,ArtsAndCulture,Heritage,PERSON
To Mee Navhech,ArtsAndCulture,Literature,PERSON
Tomb of Imam Zamin,ArtsAndCulture,Heritage,PERSON
Tomb of Isa Khan,ArtsAndCulture,Heritage,PERSON
"Tulisa, the Wood-Cutter's Daughter",ArtsAndCulture,Literature,PERSON
Tungabhadra Pushkaralu,ArtsAndCulture,Festivals,PERSON
Tutinama,ArtsAndCulture,Literature,PERSON
Urdu in Aurangabad,ArtsAndCulture,Literature,PERSON
Urdu poetry,ArtsAndCulture,Literature,PERSON
Utsava,ArtsAndCulture,Festivals,PERSON
Vachanamrut,ArtsAndCulture,Literature,PERSON
Valley of Flowers National Park,ArtsAndCulture,Heritage,PERSON
Van Mahotsav,ArtsAndCulture,Festivals,PERSON
Vande Mataram,ArtsAndCulture,Literature,PERSON
Varaha Cave Temple,ArtsAndCulture,Heritage,PERSON
Vasanta,ArtsAndCulture,Festivals,PERSON
Vessantara Jātaka,ArtsAndCulture,Literature,PERSON
Vetala Panchavimshati,ArtsAndCulture,Literature,PERSON
Victorian Gothic and Art Deco Ensembles of Mumbai,ArtsAndCulture,Heritage,PERSON
Vijayanagara,ArtsAndCulture,Heritage,PERSON
Vijayanagara literature,ArtsAndCulture,Literature,PERSON
Viswambhara,ArtsAndCulture,Literature,PERSON
Warangal Fort,ArtsAndCulture,Heritage,PERSON
Western Ganga literature,ArtsAndCulture,Literature,PERSON
Western Ghats,ArtsAndCulture,Heritage,PERSON
Western Ghats Ecology Expert Panel,ArtsAndCulture,Heritage,PERSON
Works of Jayadeva,ArtsAndCulture,Literature,PERSON
Zafarnama,ArtsAndCulture,Literature,PERSON
Śukasaptati,ArtsAndCulture,Literature,PERSON
A. D. S. N. Prasad,Business,Indian Business,PERSON
A. M. Naik,Business,Indian Business,ORG
A. R. Rahman,Business,Indian Business,PERSON
A. Sivathanu Pillai,Business,Indian Business,ORG
A. V. Gurava Reddy,Business,Indian Business,ORG
A. Vellayan,Business,Indian Business,PERSON
Aajibai Banarase,Business,Indian Business,PERSON
Abasaheb Garware,Business,Indian Business,PERSON
Abbas Sadriwala,Business,Indian Business,PERSON
Abdool Razack Mohamed,Business,Indian Business,PERSON
Abdul Azeez Abdul Rahim,Business,Indian Business,PERSON
Abdul Habeeb Yusuf Marfani,Business,Indian Business,ORG
Abdul Halim Ghaznavi,Business,Indian Business,PERSON
Abdulally Esoofally,Business,Indian Business,PERSON
Abhay Vakil,Business,Indian Business,ORG
Abhigyan Jha,Business,Indian Business,ORG
Abhishek Nath,Business,Indian Business,ORG
Abhishek Poddar,Business,Indian Business,PERSON
Abhishek Verma,Business,Indian Business,PERSON
Abidali Neemuchwala,Business,Indian Business,PERSON
Abidullah Ghazi,Business,Indian Business,ORG
Abis Rizvi,Business,Indian Business,PERSON
Achal Bakeri,Business,Indian Business,ORG
Achala Joshi,Business,Indian Business,PERSON
Adar Poonawalla,Business,Indian Business,PERSON
Adi Godrej,Business,Indian Business,PERSON
Adithya Srinivasan,Business,Indian Business,PERSON
Aditi Avasthi,Business,Indian Business,PERSON
Aditi Gupta,Business,Indian Business,PERSON
Aditya Agarwal,Business,Indian Business,PERSON
Aditya Puri,Business,Indian Business,PERSON
Aditya Vikram Birla,Business,Indian Business,PERSON
Advanced Weapons and Equipment India,Business,Indian Business,ORG
Ageas Federal Life Insurance,Business,Indian Business,ORG
Ahmed Ali Khan,Business,Indian Business,PERSON
Ahsan Ali Syed,Business,Indian Business,PERSON
Ajai Chowdhry,Business,Indian Business,ORG
Ajay Banga,Business,Indian Business,ORG
Ajay Bijli,Business,Indian Business,ORG
Ajay Data,Business,Indian Business,PERSON
Ajay Devgn,Business,Indian Business,PERSON
Ajay Goyal,Business,Indian Business,PERSON
Ajay Kalsi,Business,Indian Business,ORG
Ajay Patel,Business,Indian Business,PERSON
Ajay Piramal,Business,Indian Business,PERSON
Ajay Singh,Business,Indian Business,PERSON
Ajaypal Singh Banga,Business,Indian Business,PERSON
