text,labels,domain,source
"PHNOM PENH Reuters - Sweden said on Tuesday it was stopping new aid for Cambodia, except in education and research, and would no longer support a reform programme after the main opposition party was outlawed by the Supreme Court at the government s request. The announcement marked the first concrete action by a European Union country in protest at a political crackdown in which veteran Prime Minister Hun Sen s main rival has also been arrested and civil rights groups and independent media attacked. The United States cut election funding and said it would take more punitive steps after last week s ban on the Cambodia National Rescue Party CNRP . The European Union has also threatened action. Sweden s embassy in Phnom Penh said the country was reviewing its engagement with Cambodia. We will ",,General,argilla_news
"UNITED NATIONS Reuters - United Nations Secretary-General Antonio Guterres counts on the Security Council to remain united and take appropriate action on North Korea, his political affairs chief, Jeffrey Feltman, said on Monday after Pyongyang conducted its sixth nuclear test. Feltman warned the 15-member Security Council that as tensions rise, so does the risk of misunderstanding, miscalculation and escalation. The latest serious developments require a comprehensive response in order to break the cycle of provocations from North Korea . Such a response must include wise and bold diplomacy to be effective, Feltman told the council.",,General,argilla_news
"WASHINGTON Reuters - Republicans in U.S. House of Representatives began staking out their positions on final tax legislation on Tuesday, days ahead of talks with the Senate to shape the tax package lawmakers hope to send to President Donald Trump by year end. While lawmakers expect a smooth reconciliation of rival House and Senate tax bills, House Republicans have taken issue with several items in the Senate s legislation - from a one-year delay in cutting the corporate tax rate to 20 percent to the sunsetting of individual tax cuts after 2025. House Ways and Means Committee Chairman Kevin Brady said lawmakers are determined to eliminate the alternative minimum taxes AMTs on corporations and individuals that the Senate bill retained. House members ... feel strongly that the House position ",,General,argilla_news
"MOSCOW Reuters - Russia has suspended its diplomatic presence in Yemen and all its staff have left the country due to the situation in the capital Sanaa, the RIA news agency cited Russian Foreign Ministry spokeswoman Maria Zakharova as saying on Tuesday. The Russian ambassador to Yemen and some diplomatic staff will be working temporarily out of the Saudi capital Riyadh, the Interfax news agency cited the ministry as saying. Yemen s conflict, pitting the Houthi movement against a Saudi-led military alliance which backs a government based in the south, has unleashed what the United Nations calls the world s worst humanitarian crisis. A Russian plane evacuated embassy staff and some Russian nationals from Sanaa earlier on Tuesday, Saudi state news agency SPA said, citing the Saudi-led milita",,General,argilla_news
"COPENHAGEN Reuters - Iceland will hold a snap parliamentary election on Oct. 28, President Gudni Johannesson said on Monday, after the current government collapsed last week due to a scandal involving the prime minister s father. Prime Minister Bjarni Benediktsson had called for the vote after one party in the ruling coalition quit the government formed less than nine months ago. The outgoing government would be the shortest-living in Iceland s history. The previous government was felled by the Panama Papers scandal over offshore tax havens.",,General,argilla_news
"BEIJING Reuters - Chinese President Xi Jinping on Wednesday laid out a confident vision for a more prosperous nation and its role in the world, stressing the importance of wiping out corruption and curbing industrial overcapacity, income inequality and pollution. Opening a critical Communist Party congress, Xi pledged to build a modern socialist country for a new era that will be proudly Chinese and steadfastly ruled by the party but open to the world. Although his wide-ranging address made clear there were no plans for political reform, Xi said China s development had entered a new era , using the phrase 36 times in a speech that ran nearly 3-1 2 hours. With decades of hard work, socialism with Chinese characteristics has crossed the threshold into a new era, Xi said. The twice-a-decade e",,General,argilla_news
"WASHINGTON Reuters - President Donald Trump on Wednesday moved a step closer to fulfilling his campaign promise to reform the troubled Veterans Affairs department, but some veterans groups are concerned that the administration may be working toward privatizing their healthcare. Trump signed a law extending the pilot Veterans Choice program, which allows some veterans to receive healthcare from local doctors and hospitals closer to their homes than the VA s 150 hospitals and nearly 1,000 outpatient clinics. The law eases procedures for reimbursing private providers and creates a system for sharing medical records with them. This new law is a good start, but there is still much work to do, Trump said at a signing ceremony attended by VA Secretary David Shulkin and Florida Governor Rick Scott",,General,argilla_news
"WASHINGTON Reuters - The U.S. Congress on Wednesday overwhelmingly approved and sent to President Barack Obama legislation preventing government shutdowns at the end of this week by temporarily funding federal agencies through Dec. 9. The bill, which Obama is expected to promptly sign into law, also appropriates 1.1 billion in new money to battle an outbreak of the Zika virus. Final action in Congress came when the House of Representatives overwhelmingly approved the bill.",,General,argilla_news
"Reuters - New York state Attorney General Eric Schneiderman intends to sue the federal government if Republican lawmakers pass proposed legislation to overhaul the U.S. healthcare system, his office said on Monday. Schneiderman s office said it has identified multiple constitutional defects with the Republican healthcare bills. The U.S. Senate is considering legislation to repeal parts of the Affordable Care Act, Democratic former President Barack Obama s signature legislative achievement, commonly known as Obamacare. However, eight to 10 Republican U.S. senators have serious concerns about the proposals, moderate Republican Senator Susan Collins, who opposes the bill, said on Sunday. Democratic state attorneys general have become a major source of opposition to Republican President Donald",,General,argilla_news
"WASHINGTON Reuters - President Donald Trump picked a new fight on Thursday with his fellow Republicans, saying congressional leaders could have avoided a mess over raising the U.S. debt ceiling if they had taken his advice. In the latest in a stream of criticisms that could undermine his aims to cut taxes, pass a budget and rebuild infrastructure, Trump sought to blame party leaders if Congress fails to agree to raise the cap on how much the federal government may borrow. The Treasury Department has said the ceiling must be raised by Sept. 29. If not, the government would be unable to borrow more money or pay its bills, including its debt payments. That could hurt the United States credit rating, cause financial turmoil, harm the U.S. economy and possibly trigger a recession. Trump said he",,General,argilla_news
"MOSCOW Reuters - Russian President Vladimir Putin hosted Saudi Arabia s King Salman for talks at the Kremlin on Thursday, cementing a relationship that is pivotal for world oil prices and could decide the outcome of the conflict in Syria. King Salman, the first sitting Saudi monarch ever to visit Russia, led a delegation to Moscow that agreed joint investment deals worth several billion dollars, providing much-needed investment for a Russian economy battered by low oil prices and Western sanctions. Saudi Arabia said it had signed a memorandum of understanding on the purchase from Russia of S-400 air defense systems. That marked a shift for the kingdom, which buys most of its military kit from the United States and Britain. On the political front, there was no sign of any substantial breakt",,General,argilla_news
"MUNICH Reuters - U.S. Republican senators plan to introduce legislation to impose further sanctions on Iran, accusing it of violating U.N. Security Council resolutions by testing ballistic missiles and acting to destabilise the Middle East, a U.S. senator said Sunday. I think it is now time for the Congress to take Iran on directly in terms of what they ve done outside the nuclear program, Senator Lindsey Graham, a member of the Senate Armed Services Committee, told the Munich Security Conference. Graham said he and other Republicans would introduce measures to hold Iran accountable for its actions. Tensions between Tehran and Washington have risen since an Iranian ballistic missile test that prompted U.S. President Donald Trump s administration to impose sanctions on individuals and entit",,General,argilla_news
"ISLAMABAD Reuters - The Khyber Pass border between Pakistan and Afghanistan was closed to all traffic on Tuesday for the return of a Pakistani diplomat who was shot dead in Afghanistan by unknown gunmen. Pakistan summoned the Afghan charge d affaires in Islamabad to protest against the killing of consular official Nayyar Iqbal Rana on Monday near his residence in the eastern city of Jalalabad, Pakistan s foreign office said in a statement. Relations between Afghanistan and Pakistan have been going through a stormy period with tensions over the latest U.S. strategic plan for the region and disputes over the Torkham border crossing, which Pakistan has closed periodically. We received the body of late Nayyar Iqbal Rana in Torkham today, a government official in Torkham who asked not to be ide",,General,argilla_news
