source,url,title,body,domain,sub_domain,scraped_at
TheHindu,https://www.thehindu.com/podcast/in-focus-podcast-ipl-2026-season-review-what-defined-a-season-of-records-runs-and-repeat-champions/article71048161.ece,"In Focus podcast | IPL 2026 review: What defined a season of records, runs and repeat champions?",Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:14.320719
TheHindu,https://www.thehindu.com/sport/cricket/gujarat-titans-players-staff-evacuated-from-team-bus-after-mid-road-breakdown/article71047415.ece,"Gujarat Titans players, staff evacuated from team bus after mid-road breakdown",Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:16.605752
TheHindu,https://www.thehindu.com/sport/cricket/ipl-2026-a-largely-uninspiring-show-by-the-caribbean-players/article71048417.ece,IPL 2026: A largely uninspiring show by the Caribbean players,Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:18.896279
TheHindu,https://www.thehindu.com/sport/cricket/with-this-rcb-group-you-dont-need-to-be-the-one-to-step-up-every-time-kohli/article71045794.ece,Pressure was less and composure of the guys just shone through: Kohli,Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:20.896878
TheHindu,https://www.thehindu.com/sport/kohli-bhuvneshwar-and-the-band-that-believed/article71049978.ece,"Kohli, Bhuvneshwar and the band that believed",Subscribed with another email? Logout and Login with that one.,Sports,General,2026-06-02T10:13:23.181749
TheHindu,https://www.thehindu.com/sport/cricket/patidar-eyes-a-hat-trick-after-best-birthday-gift/article71049441.ece,Patidar eyes a hat-trick after ‘best birthday gift’,Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:25.714475
TheHindu,https://www.thehindu.com/sport/cricket/ipl-2026-review-rcb-reaps-the-fruits-of-collective-strength-and-clarity-of-roles/article71048468.ece,IPL 2026 review: RCB reaps the fruits of collective strength and clarity of roles,Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:28.071498
TheHindu,https://www.thehindu.com/sport/cricket/ipl-2026-from-desperation-to-title-triumphs-how-andy-flower-redefined-royal-challengers-legacy/article71048825.ece,IPL 2026 | From desperation to title triumphs: how Andy Flower redefined Royal Challengers’ legacy,Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:30.322003
TheHindu,https://www.thehindu.com/sport/cricket/rcbs-tim-david-suspended-for-one-match-next-ipl-season-for-breaching-code-of-conduct/article71050087.ece,RCB's Tim David suspended for one match next IPL season for breaching Code of Conduct,Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:32.696884
TheHindu,https://www.thehindu.com/sport/cricket/icc-suspends-cricket-canadas-membership-but-keeps-teams-eligible-for-events/article71049963.ece,ICC suspends Cricket Canada's membership but keeps teams eligible for events,Subscribed with another email? Logout and Login with that one.,Sports,Cricket,2026-06-02T10:13:34.820060
